src,dst,proto,sport,dport,pkt_count,byte_count,duration,avg_pkt_size,flags_score
10.0.0.10,10.0.0.2,TCP,50432,80,6,492,0.21116900444030762,82.0,0.8000000000000002
10.0.0.11,10.0.0.2,UDP,58321,53,5,2640,0.2596161365509033,528.0,0.0
10.0.0.12,10.0.0.3,TCP,50123,443,10,820,0.343142032623291,82.0,0.8
10.0.0.99,10.0.0.2,TCP,40789,20,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,40452,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,46770,24,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,59591,26,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,48496,28,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,54153,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,53178,30,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,58988,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,41773,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,59426,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,58551,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,44620,32,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,42066,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,41288,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,49507,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,44967,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,56276,34,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,45970,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,51523,22,2,80,0.10699200630187988,40.0,2.0
10.0.0.77,10.0.0.2,TCP,44901,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,44593,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,57359,36,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,56514,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,49090,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,41624,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,56466,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,52838,38,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,62964,22,2,80,0.0019998550415039062,40.0,2.0
10.0.0.77,10.0.0.2,TCP,43282,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,42355,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,41320,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,42736,40,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,43057,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,44385,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,53796,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,47589,42,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,52383,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,45176,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,50337,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,51251,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,45526,44,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,64608,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,50546,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,47139,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,61338,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,49775,46,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,40683,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,40226,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,59718,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,59781,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,44578,48,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,42720,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,53821,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,45539,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,51142,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,49115,50,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,57465,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,62649,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,54870,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,49061,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,56849,52,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,62218,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,59984,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,49614,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,64184,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,53313,54,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,54401,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,52423,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,51714,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,61872,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,41937,56,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,63790,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,46714,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,46517,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,44410,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,53678,58,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,54462,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,59526,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,45786,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,60473,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,50454,60,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,41009,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,45795,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,64600,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,42067,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,59725,62,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,41427,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,59043,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,64742,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,59061,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,50772,64,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,53511,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,53293,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,61084,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,63323,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,49351,66,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,52551,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,51272,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,41196,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,40459,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,54238,68,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,58484,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,52530,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,54911,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,56617,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,44831,70,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,44037,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,60463,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,60256,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,53682,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,48178,72,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,57961,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,57233,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,61247,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,61271,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,57257,74,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,63564,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,44195,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,60167,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,56430,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,50605,76,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,43429,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,52402,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,47034,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,44471,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,40038,78,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,60491,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,48099,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,45606,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,56873,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,48173,80,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,55541,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,42323,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,47104,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,54971,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,57652,82,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,40342,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,64045,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,53600,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,51305,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,41327,84,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,63405,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,63500,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,53693,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,42079,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,54425,86,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,54849,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,49281,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,55535,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,63379,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,57662,88,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,51205,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,42859,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,54649,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,61395,22,1,40,0.0,40.0,2.0
10.0.0.99,10.0.0.2,TCP,57969,90,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,60899,22,1,40,0.0,40.0,2.0
10.0.0.77,10.0.0.2,TCP,48144,22,1,40,0.0,40.0,2.0
